model,task,rank,a,b,R2,equation
BERT,MRPC,2,0.028,0.5521,0.8344,acc = 0.0280*ln(n) + 0.5521
BERT,MRPC,4,0.0306,0.5479,0.9305,acc = 0.0306*ln(n) + 0.5479
BERT,MRPC,8,0.0368,0.5206,0.944,acc = 0.0368*ln(n) + 0.5206
BERT,MRPC,16,0.0383,0.5125,0.9207,acc = 0.0383*ln(n) + 0.5125
BERT,MRPC,32,0.0369,0.5285,0.9768,acc = 0.0369*ln(n) + 0.5285
BERT,MRPC,64,0.0354,0.5403,0.9844,acc = 0.0354*ln(n) + 0.5403
BERT,QNLI,2,0.0406,0.4796,0.9666,acc = 0.0406*ln(n) + 0.4796
BERT,QNLI,4,0.0392,0.5026,0.9819,acc = 0.0392*ln(n) + 0.5026
BERT,QNLI,8,0.0403,0.5092,0.9869,acc = 0.0403*ln(n) + 0.5092
BERT,QNLI,16,0.0372,0.5294,0.9708,acc = 0.0372*ln(n) + 0.5294
BERT,QNLI,32,0.0384,0.5309,0.9802,acc = 0.0384*ln(n) + 0.5309
BERT,QNLI,64,0.0387,0.5264,0.9961,acc = 0.0387*ln(n) + 0.5264
BERT,RTE,2,0.0249,0.4064,0.9516,acc = 0.0249*ln(n) + 0.4064
BERT,RTE,4,0.0229,0.4322,0.9451,acc = 0.0229*ln(n) + 0.4322
BERT,RTE,8,0.0288,0.408,0.9442,acc = 0.0288*ln(n) + 0.4080
BERT,RTE,16,0.0296,0.4131,0.9056,acc = 0.0296*ln(n) + 0.4131
BERT,RTE,32,0.0364,0.3736,0.9411,acc = 0.0364*ln(n) + 0.3736
BERT,RTE,64,0.0392,0.3653,0.9314,acc = 0.0392*ln(n) + 0.3653
BERT,SST2,2,0.0828,0.242,0.8169,acc = 0.0828*ln(n) + 0.2420
BERT,SST2,4,0.0785,0.2864,0.7682,acc = 0.0785*ln(n) + 0.2864
BERT,SST2,8,0.0688,0.3576,0.7623,acc = 0.0688*ln(n) + 0.3576
BERT,SST2,16,0.0607,0.4282,0.7358,acc = 0.0607*ln(n) + 0.4282
BERT,SST2,32,0.047,0.5266,0.7493,acc = 0.0470*ln(n) + 0.5266
BERT,SST2,64,0.0415,0.567,0.7766,acc = 0.0415*ln(n) + 0.5670
RoBERTa,MRPC,2,0.0339,0.5257,0.8328,acc = 0.0339*ln(n) + 0.5257
RoBERTa,MRPC,4,0.0386,0.5116,0.9071,acc = 0.0386*ln(n) + 0.5116
RoBERTa,MRPC,8,0.0407,0.5051,0.9319,acc = 0.0407*ln(n) + 0.5051
RoBERTa,MRPC,16,0.041,0.513,0.9842,acc = 0.0410*ln(n) + 0.5130
RoBERTa,MRPC,32,0.0464,0.4898,0.9813,acc = 0.0464*ln(n) + 0.4898
RoBERTa,MRPC,64,0.0438,0.5047,0.9692,acc = 0.0438*ln(n) + 0.5047
RoBERTa,QNLI,2,0.081,0.1373,0.8883,acc = 0.0810*ln(n) + 0.1373
RoBERTa,QNLI,4,0.0875,0.135,0.9631,acc = 0.0875*ln(n) + 0.1350
RoBERTa,QNLI,8,0.083,0.1958,0.9591,acc = 0.0830*ln(n) + 0.1958
RoBERTa,QNLI,16,0.0825,0.2088,0.8968,acc = 0.0825*ln(n) + 0.2088
RoBERTa,QNLI,32,0.0774,0.2525,0.9264,acc = 0.0774*ln(n) + 0.2525
RoBERTa,QNLI,64,0.053,0.3655,0.7654,acc = 0.0530*ln(n) + 0.3655
RoBERTa,RTE,2,0.0391,0.3089,0.6612,acc = 0.0391*ln(n) + 0.3089
RoBERTa,RTE,4,0.0427,0.2946,0.8445,acc = 0.0427*ln(n) + 0.2946
RoBERTa,RTE,8,0.0481,0.2696,0.897,acc = 0.0481*ln(n) + 0.2696
RoBERTa,RTE,16,0.0426,0.3097,0.8537,acc = 0.0426*ln(n) + 0.3097
RoBERTa,RTE,32,0.0432,0.2991,0.9138,acc = 0.0432*ln(n) + 0.2991
RoBERTa,RTE,64,0.0191,0.4103,0.8954,acc = 0.0191*ln(n) + 0.4103
RoBERTa,SST2,2,0.0901,0.2359,0.715,acc = 0.0901*ln(n) + 0.2359
RoBERTa,SST2,4,0.0724,0.3768,0.6235,acc = 0.0724*ln(n) + 0.3768
RoBERTa,SST2,8,0.0653,0.4302,0.5732,acc = 0.0653*ln(n) + 0.4302
RoBERTa,SST2,16,0.0497,0.5493,0.5927,acc = 0.0497*ln(n) + 0.5493
RoBERTa,SST2,32,0.0318,0.6725,0.7333,acc = 0.0318*ln(n) + 0.6725
RoBERTa,SST2,64,0.0333,0.6558,0.896,acc = 0.0333*ln(n) + 0.6558
